ds,AQI,tavg,wspd,prcp
1/1/2023,165,14.2,1.8,0
1/2/2023,165,13.6,1.7,0
1/3/2023,133,12.9,1.8,0
1/4/2023,119,11.8,3.1,0
1/5/2023,127,10.9,2.6,0
1/6/2023,131,11.4,3.8,0
1/7/2023,108,11.8,4.5,0
1/8/2023,116,11,3.5,0
1/9/2023,207,12.3,2.9,0
1/10/2023,188,13.2,4.1,0
1/11/2023,171,13.4,3.4,0
1/12/2023,138,14.9,2.4,0
1/13/2023,198,16.4,3.2,0
1/14/2023,170,16.7,5.1,0
1/15/2023,108,14.7,7.9,0
1/16/2023,91,11.8,4.1,0
1/17/2023,113,17.2,3.9,0
1/18/2023,145,11.4,3.7,0
1/19/2023,176,12.3,1.7,0
1/20/2023,228,14.3,2.8,0.3
1/21/2023,136,16.5,2.5,5
1/22/2023,180,16.2,3.7,2
1/23/2023,92,17.9,2.4,0.2
1/24/2023,120,19.3,3,0
1/25/2023,126,20.3,3.4,2.7
1/26/2023,128,20,5.5,15
1/27/2023,73,18.2,8.5,0
1/28/2023,80,16.1,5.4,0
1/29/2023,110,16,2.6,0
1/30/2023,131,18.4,4.1,0
1/31/2023,89,18.4,9.1,0
2/1/2023,62,17.1,11,0
2/2/2023,68,16,7.2,0
2/3/2023,71,16.2,6.9,0
2/4/2023,73,17.1,7.8,0
2/5/2023,71,18,6,0
2/6/2023,91,18.4,3.7,0
2/7/2023,84,19.5,6.9,0
2/8/2023,67,18.9,8.9,0
2/9/2023,67,18.2,5.8,0
2/10/2023,83,19.6,3.1,0
2/11/2023,89,20.9,6.6,0
2/12/2023,96,20.6,12.5,0
2/13/2023,70,18,13.4,0
2/14/2023,77,17.2,7.3,0
2/15/2023,79,17.8,5.5,0
2/16/2023,130,18.6,2.3,0
2/17/2023,131,19.6,1.8,0
2/18/2023,130,20.6,1.8,0
2/19/2023,116,21.2,2.7,0
2/20/2023,105,22.5,4,0
2/21/2023,98,23.9,3.9,0
2/22/2023,85,24,5.8,0
2/23/2023,85,23.6,6.2,0
2/24/2023,96,23,5.3,0
2/25/2023,102,22.5,2.4,0
2/26/2023,111,22.7,2.1,0
2/27/2023,121,23.3,3,0
2/28/2023,119,18.2,3.3,0
3/1/2023,129,21.3,2.8,0
3/2/2023,107,25,4.2,0
3/3/2023,100,25.6,7.5,0
3/4/2023,99,25.8,7.3,0
3/5/2023,91,25.7,8.6,0
3/6/2023,70,25.2,7.5,0
3/7/2023,106,24.9,5.6,0
3/8/2023,98,24.1,3.2,0
3/9/2023,92,23.9,3.5,0.2
3/10/2023,89,24.6,3.9,0
3/11/2023,163,24.7,3.4,0
3/12/2023,122,25.1,2.5,0
3/13/2023,138,22,3.2,0
3/14/2023,153,26.1,5.2,0
3/15/2023,122,26.8,3.9,0
3/16/2023,149,25.6,4.3,0
3/17/2023,118,25.1,4,0.3
3/18/2023,83,24.4,4.5,2.9
3/19/2023,49,23.9,4.8,4.1
3/20/2023,81,22.7,4.8,1.7
3/21/2023,63,22.5,4.9,0
3/22/2023,62,23.4,6.3,0
3/23/2023,57,24.9,7.2,0
3/24/2023,72,26.3,3.1,0
3/25/2023,70,27,3.9,0
3/26/2023,73,26.7,4.9,0
3/27/2023,56,26.6,6.6,0
3/28/2023,75,26.8,5.8,0
3/29/2023,92,27.2,3.3,0
3/30/2023,72,28.2,3.8,0
3/31/2023,65,26.2,6.8,1.3
4/1/2023,58,25.4,5.6,2.8
4/2/2023,70,26.3,7.8,0
4/3/2023,66,27.7,7.6,0
4/4/2023,75,28.8,7,0.4
4/5/2023,68,28.2,7.5,0
4/6/2023,107,28.2,5.6,0
4/7/2023,117,28.5,5.9,0
4/8/2023,88,28.6,5.5,0
4/9/2023,107,29.3,6.4,0
4/10/2023,125,30,8.5,0
4/11/2023,106,30.1,10.2,0
4/12/2023,101,31.3,9.3,0
4/13/2023,112,32.2,7.8,0
4/14/2023,105,32.6,6.2,0
4/15/2023,120,33.6,4.7,0
